CSCX;CSC;Predio;Direccion;Pais;Departamento;Municipio;latitud;longitud
13;853;EDIFICIO JUANAMBU;AVENIDA 10 RTE  7N -10 Y CALLE 7a RTE  9N-36-40;COLOMBIA;Valle del cauca;CALI;L;L%&
41;2024;EDIFICIO LA RIBERA;AVENIDA 2 AVENIDA DEL RIO  7-72;COLOMBIA;Valle del cauca;CALI;L;L%&
92;2169;EDIFICIO MULTIFAMILIAR ALCAÑIZ;AVENIDA 3 A OESTE  14-48;COLOMBIA;Valle del cauca;CALI;L;L%&
201;1701;EDIFICIO ALTOS DE RMANDIA;AVENIDA 4B OESTE  2-56/60 OESTE;COLOMBIA;Valle del cauca;CALI;L;L%&
244;2423;CONJUNTO SANTANGELLO APARTAMENTOS CLUB ;AVENIDA 5 OESTE  5-170 Y AVENIDA 6 OESTE  5 - 163;COLOMBIA;Valle del cauca;CALI;L;L%&
269;676;Edifficio Bilvao;AVENIDA 5c47an-45;COLOMBIA;Valle del cauca;CALI;L;L%&
308;2478;ALTAVISTA RMANDIA ETAPA I;AVENIDA 6 OESTE  5 OESTE - 200;COLOMBIA;Valle del cauca;CALI;L;L%&
386;181;PARCELACION GUADUALES DEL RIO;AVENIDA CAÑAS GORDAS EN LA CALLE 18  152 -160 del corregimiento la viga;COLOMBIA;Valle del cauca;CALI;L;L%&
398;369;CONJUNTO CERRADO LA RIVERITA;AVENIDA DEL LAGO CALLE DE LOS CARBONEROS;COLOMBIA;Valle del cauca;CALI;L;L%&
406;1020;CONJUNTO RESIDENCIAL LOMA DE LA RIVERITA;AVENIDA LA RIVERITA CALLE DEL SAUCE;COLOMBIA;Valle del cauca;CALI;L;L%&
407;1660;EDIFICIO AVENIDA ;AVENIDA Las aAmericas  19-80;COLOMBIA;Valle del cauca;CALI;L;L%&
408;1093;EDIFICIO ASTORIA;AVENIDA las Americas  21-09;COLOMBIA;Valle del cauca;CALI;L;L%&
416;1482;Bodegas Gleason;CALI VALLE;COLOMBIA;Valle del cauca;CALI;L;L%&
500;1826;MULTIFAMILIAR LEONEL;CALLE 1 OESTE 82 D 04- 82 D 06;COLOMBIA;Valle del cauca;CALI;L;L%&
527;876;CORPORACION DE PROPIETARIOS EDIFICIO RESIDENCIAS ARISTI;CALLE 10  9 -49/59 CARRERA 9  8 -66;COLOMBIA;Valle del cauca;CALI;L;L%&
528;656;CORPORACION DE PROPIETARIOS  DEL EDIFICIO  RESIDENCIAS ARISTI;CALLE 10  949/59 CARRERA 9  8 -66/86;COLOMBIA;Valle del cauca;CALI;L;L%&
664;771;EDIFICIO SANTA LIBRADA;CALLE 13  3-03/05/09/13/17/21/25/29/33/37/41/45/51/57/63;COLOMBIA;Valle del cauca;CALI;L;L%&
718;380;CONJUNTO RESIDENCIAL EL RINCON DE LAS QUINTAS;CALLE 13B  75-69;COLOMBIA;Valle del cauca;CALI;L;L%&
720;747;EDIFICIO CAÑABRAVA;CALLE 13B  85-24;COLOMBIA;Valle del cauca;CALI;L;L%&
746;512;PARCELACION BELLA SUIZA;CALLE 14 A OESTE  55-175;COLOMBIA;Valle del cauca;CALI;L;L%&
761;1156;EDIFICIO la herreria;CALLE 14  100-90;COLOMBIA;Valle del cauca;CALI;L;L%&
857;2743;CONDOMINIO CAMPESTRE CAMI DE LA MARIA ;CALLE 16 A CARRERA 129 CORREGIMIENTO LA VIGA-PANCE;COLOMBIA;Valle del cauca;CALI;L;L%&
861;3096;CONJUNTO RESIDENCIAL ANTARES PANCE;CALLE 16 A  122 B - 150;COLOMBIA;Valle del cauca;CALI;L;L%&
863;1321;CONJUNTO RESIDENCIAL LA ESQUINA DE LAS GARZAS;CALLE 16 A  127 - 35;COLOMBIA;Valle del cauca;CALI;L;L%&
881;1133;CONDOMINIO COLINAS DE PANCE;CALLE 16A  132-60;COLOMBIA;Valle del cauca;CALI;L;L%&
903;1019;condominio balcones de pance;CALLE 18 bis  127 c 11;COLOMBIA;Valle del cauca;CALI;L;L%&
906;2565;CLUB RINCON DE FATIMA ;CALLE 18  180-10;COLOMBIA;Valle del cauca;CALI;L;L%&
948;2400;CONDOMINIO EL SAMAN;CALLE 19 A  127 -50;COLOMBIA;Valle del cauca;CALI;L;L%&
967;891;NAPOLES III ETAPA;CALLE 1C CARRERA 79;COLOMBIA;Valle del cauca;CALI;L;L%&
1035;462;CONDOMINIO LA VIGA;CALLE 20  146-145;COLOMBIA;Valle del cauca;CALI;L;L%&
1036;1495;CONJUNTO RESIDENCIAL PEYARES;CALLE 20  154-34;COLOMBIA;Valle del cauca;CALI;L;L%&
1067;2036;CONJUNTO RESIDENCIAL REMANSO DE CIUDAD JARDIN;CALLE 22A  112 A 35 CAÑAS GORDAS;COLOMBIA;Valle del cauca;CALI;L;L%&
1103;836;CONJUNTO RESIDENCIAL VALLE DEL LILI - SECTOR I;CALLE 26  81-40;COLOMBIA;Valle del cauca;CALI;L;L%&
1118;2984;CONJUNTO RESIDENCIAL PORTAL DE LA BOCHA VIS;CALLE 28  111 - 39;COLOMBIA;Valle del cauca;CALI;L;L%&
1125;2748;ALLEGRO BOCHALEMA;CALLE 28 113 - 57;COLOMBIA;Valle del cauca;CALI;L;L%&
1192;3042;CONJUNTO RESIDENCIAL ALTABRISA VIS;CALLE 30  121 A - 105;COLOMBIA;Valle del cauca;CALI;L;L%&
1193;3091;CONJUNTO RESIDENCIAL VERDEBRISA;CALLE 30  121 A - 28;COLOMBIA;Valle del cauca;CALI;L;L%&
1198;1135;CONJUNTO RESIDENCIAL PLAZA CENTRAL TRES;CALLE 30N  2A-08;COLOMBIA;Valle del cauca;CALI;L;L%&
1213;421;CONJUNTO RESIDENCIAL GIRASOLES DE LA FLORA I Y II;CALLE 33B  2BN-83;COLOMBIA;Valle del cauca;CALI;L;L%&
1276;2906;PARCELACION LOMAS DEL RIO;CALLE 4  179 - 850;COLOMBIA;Valle del cauca;CALI;L;L%&
1329;2627;CONJUNTO RESIDENCIAL ENTREPALMAS;CALLE 44  109 -83;COLOMBIA;Valle del cauca;CALI;L;L%&
1330;2470;CONJUNTO RESIDENCIAL FARALLONES  DE LA BOCHA -VIS ;CALLE 44  109-29;COLOMBIA;Valle del cauca;CALI;L;L%&
1335;2613;CONJUNTO RESIDENCIAL LAGOS DE LA BOCHA ;CALLE 44  113 -39;COLOMBIA;Valle del cauca;CALI;L;L%&
1332;2457;CONJUNTO RESIDENCIAL PARQUES DE LA BOCHA;CALLE 44  113-44;COLOMBIA;Valle del cauca;CALI;L;L%&
1357;2650;EDIFICIO  OASIS DE LA BOCHA;CALLE 46 N0 112 -51;COLOMBIA;Valle del cauca;CALI;L;L%&
1359;2378;CONJUNTO RESIDENCIAL MANANTIAL DE LA BOCHA;CALLE 46  109 - 39;COLOMBIA;Valle del cauca;CALI;L;L%&
1360;2543;EDIFICIO FUENTES DE LA BOCHA;CALLE 46  111 - 59;COLOMBIA;Valle del cauca;CALI;L;L%&
1358;2933;CONJUNTO RESIDENCIAL CASCADAS DE LA BOCHA -VIS;CALLE 46  113 -29;COLOMBIA;Valle del cauca;CALI;L;L%&
1383;2870;CONJUNTO RESIDENCIAL ACUARELA VIS;CALLE 49  121 A - 35;COLOMBIA;Valle del cauca;CALI;L;L%&
1388;398;CONDOMINIO DOS QUEBRADAS SECTOR PANCE;CALLE 4A  124A-64;COLOMBIA;Valle del cauca;CALI;L;L%&
1405;2761; CONDOMINIO CAMPESTRE RESERVA DE PANCE  ETAPA 1 PROPIEDAD HORIZONTAL ;CALLE 5 B  CARRERAS 141 Y142;COLOMBIA;Valle del cauca;CALI;L;L%&
1434;924;CENTRO COMERCIAL CAPRI;CALLE 5  76-05;COLOMBIA;Valle del cauca;CALI;L;L%&
1463;2652;AGRUPACION PORTAL DE LA ALAMEDA;CALLE 53 CARRERA 98 C;COLOMBIA;Valle del cauca;CALI;L;L%&
1466;2818;EDIFICIO BUGANVILIA ;CALLE 53  83 E -31;COLOMBIA;Valle del cauca;CALI;L;L%&
1474;2585;EDIFICIO EL HIGUERON ;CALLE 53  83C -61;COLOMBIA;Valle del cauca;CALI;L;L%&
1467;2437;CONJUNTO RESIDENCIAL SENDEROS DEL PARQUE;CALLE 53  97-55;COLOMBIA;Valle del cauca;CALI;L;L%&
1468;2458;CONJUNTO RESIDENCIAL ALAMEDA CENTRAL ;CALLE 53  98 -91;COLOMBIA;Valle del cauca;CALI;L;L%&
1475;2560;AGRUPACION PORTAL DE LA ALAMEDA;CALLE 53  98C -43;COLOMBIA;Valle del cauca;CALI;L;L%&
1476;2541;CONJUNTO RESIDENCIAL SENDEROS DEL RIO;CALLE 53  99 - 131;COLOMBIA;Valle del cauca;CALI;L;L%&
1482;2527;UNIDAD RESIDENCIAL SAMANES DE FONDECOM VIS;CALLE 54  84 - 160;COLOMBIA;Valle del cauca;CALI;L;L%&
1485;2548;CONJUNTO RESIDENCIAL PASEO DE LA ALAMEDA;CALLE 54  98-97;COLOMBIA;Valle del cauca;CALI;L;L%&
1494;2637;CONJUNTO RESIDENCIAL REMANSOS DEL LILI;CALLE 55  99 -250;COLOMBIA;Valle del cauca;CALI;L;L%&
1508;2685;CONJUNTO RESIDENCIAL MULTIFAMILAR K 109 EBA ETAPA I;CALLE 58  109 -83;COLOMBIA;Valle del cauca;CALI;L;L%&
1509;3027;CONJUNTO TERRACOTA B VIS;CALLE 58  93 - 199;COLOMBIA;Valle del cauca;CALI;L;L%&
1561;1665;CONJUNTO RESIDENCIAL PORTAL DE LA LOMA ;CALLE 6  127-85 Pance;COLOMBIA;Valle del cauca;CALI;L;L%&
1562;3017;PANCE CAMPESTRE ETAPA 1;CALLE 6  137 - 94;COLOMBIA;Valle del cauca;CALI;L;L%&
1598;3075;CAFETO CONJUNTO RESIDENCIAL ETAPA 1 SUBETAPA 1A Y SUBETAPA 1B-VIS;CALLE 60 A  119 - 140;COLOMBIA;Valle del cauca;CALI;L;L%&
1597;2976;CONJUNTO RESIDENCIAL  PRADERA VIS ;CALLE 60 A  119 C -84;COLOMBIA;Valle del cauca;CALI;L;L%&
1599;3088;CONJUNTO RESIDENCIAL CARACOLI;CALLE 60 B  107 - 75;COLOMBIA;Valle del cauca;CALI;L;L%&
1601;2996;LANTANA CONJUNTO RESIDENCIAL -VIS ETAPA 1 SUB ETAPA 1A ;CALLE 60 B  119 A - 51;COLOMBIA;Valle del cauca;CALI;L;L%&
1612;3021;CONJUNTO JADE;CALLE 60  97 BIS - 46;COLOMBIA;Valle del cauca;CALI;L;L%&
1606;2796;CONJUNTO TURQUESA B -VIS ;CALLE 60  98 C-43;COLOMBIA;Valle del cauca;CALI;L;L%&
1607;2759;CONJUNTO AMBAR PROPIEDAD HORIZONTA ;CALLE 60  98 D-45;COLOMBIA;Valle del cauca;CALI;L;L%&
1608;2688;CONJUNTO RESIDENCIAL RESERVA CARMESI;CALLE 60  98 F -33;COLOMBIA;Valle del cauca;CALI;L;L%&
1618;2999;CONJUNTO AMATISTA A - VIS;CALLE 61  93 - 180;COLOMBIA;Valle del cauca;CALI;L;L%&
1619;3000;CONJUNTO AMATISTA B - VIS;CALLE 61  93 - 48;COLOMBIA;Valle del cauca;CALI;L;L%&
1691;1868;CONDOMINIO QUINTAS DE PANCE;CALLE 7  141-180;COLOMBIA;Valle del cauca;CALI;L;L%&
1741;1694;CENTRO CULTURAL ANTROPOSOFICO Y COMUNIDAD DE LOS CRISTIAS;CALLE 7ª  41 -11;COLOMBIA;Valle del cauca;CALI;L;L%&
1819;578;EDIFICIO 99;CALLE 9A  8-54;COLOMBIA;Valle del cauca;CALI;L;L%&
1852;2482;CONJUNTO MULTIFAMILIAR EL PORTAL DE LA AUTOMA II VIS PLAN PARCIAL DE LAS VEGAS DE COMFANDI UNIDAD DE GESTION II;CALLLE 54  84 - 34;COLOMBIA;Valle del cauca;CALI;L;L%&
1865;1200;EDIFICIO jardin via veneto;CARRERA 1 a OESTE  1-75;COLOMBIA;Valle del cauca;CALI;L;L%&
1867;209;EDIFICIO TAHAYULI;CARRERA 1 AVENIDA 11-65 OESTE;COLOMBIA;Valle del cauca;CALI;L;L%&
1895;1771;COPROPIETARIOS DEL EDIFICIO DEL RIO ;CARRERA 1 OESTE  1 B -16;COLOMBIA;Valle del cauca;CALI;L;L%&
1896;593;EDIFICIO ALTOS DEL RIO;CARRERA 1 OESTE  10-09;COLOMBIA;Valle del cauca;CALI;L;L%&
1897;939;EDIFICIO IARKON;CARRERA 1 OESTE  10-27;COLOMBIA;Valle del cauca;CALI;L;L%&
1898;1118;EDIFICIO Santa Teresita ;CARRERA 1 OESTE  11-135;COLOMBIA;Valle del cauca;CALI;L;L%&
1901;1527;EDIFICIO RIVERA DEL RIO;CARRERA 1 OESTE  11-79;COLOMBIA;Valle del cauca;CALI;L;L%&
1902;2882;EDIFICIO MULTIFAMILIAR RIO ALTO APARTAMENTOS;CARRERA 1 OESTE  13 - 45;COLOMBIA;Valle del cauca;CALI;L;L%&
1903;270;EDIFICIO RIO CLARO;CARRERA 1 OESTE  13-49;COLOMBIA;Valle del cauca;CALI;L;L%&
1904;1189;CENTRO ALFEREZ REAL;CARRERA 1 OESTE  1-50/76;COLOMBIA;Valle del cauca;CALI;L;L%&
1893;2467;MOLIS DE SANTA TERESITA  APARTAMENTOS ;CARRERA 1 OESTE  17 OESTE -77;COLOMBIA;Valle del cauca;CALI;L;L%&
1988;2699;CONJUNTO  VILLA CAERMESI;CARRERA 102  98 F 24;COLOMBIA;Valle del cauca;CALI;L;L%&
1999;3036;K 104 MAPLE CONJUNTO RESIDENCIAL ETAPA I;CARRERA 104  44 - 69;COLOMBIA;Valle del cauca;CALI;L;L%&
2011;2869;CONJUNTO RESIDENCIAL K 106 RATTAN ETAPA I;CARRERA 106  44 - 67;COLOMBIA;Valle del cauca;CALI;L;L%&
2015;2900;CONJUNTO RESIDENCIAL K 108 - CEDRO ETAPA I;CARRERA 108  42 - 92;COLOMBIA;Valle del cauca;CALI;L;L%&
2012;2587;CONJUNTO RESIDENCIAL K-108 TEKA  ETAPA I;CARRERA 108  42-17;COLOMBIA;Valle del cauca;CALI;L;L%&
2013;2625;CONJUNTO MULTIFAMILIAR  -K108 GAL ETAPA  I;CARRERA 108  44 -75;COLOMBIA;Valle del cauca;CALI;L;L%&
2018;2815;CONJUNTO RESIDENCIAL K-111 GRANADILLO V1S ETAPA I;CARRERA 111  49-32;COLOMBIA;Valle del cauca;CALI;L;L%&
2022;3001;CENTRO COMERCIAL PORTAL DE LA BOCHA PLAZA;CARRERA 112  28 - 47;COLOMBIA;Valle del cauca;CALI;L;L%&
2020;2509;EDIFICIO PALMERAS DE LA BOCHA;CARRERA 112  44 -21;COLOMBIA;Valle del cauca;CALI;L;L%&
2023;2858;CONJUNTO RESIDENCIAL K 112 PI ETAPA 1-VIS;CARRERA 112  48 - 92;COLOMBIA;Valle del cauca;CALI;L;L%&
2025;1828;CONJUNTO GUALANDAY A-B;CARRERA 113 BIS  5-80/81;COLOMBIA;Valle del cauca;CALI;L;L%&
2031;2635;CONJUNTO RESIDENCIAL  PUNTA DEL ESTE;CARRERA 113  28 -71;COLOMBIA;Valle del cauca;CALI;L;L%&
2039;2491;CONJUNTO RESIDENCIAL  PORTAL DEL ALFEREZ;CARRERA 115  1 8 -43;COLOMBIA;Valle del cauca;CALI;L;L%&
2046;286;CONJUNTO MIRA MONTES;CARRERA 115  6-226;COLOMBIA;Valle del cauca;CALI;L;L%&
2057;2832;CONJUNTO RESIDENCIAL GAUDI;CARRERA 118  04-147;COLOMBIA;Valle del cauca;CALI;L;L%&
